0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.0076363776,-0.01942099,0.0020869775,-0.03617592,-0.05566709,0.051990364,0.15379657,0.060632695,0.13994732,-0.00096801616,0.05149059,0.14920318,-0.09664457,0.07784968,0.042187087,-0.05771888,0.03975069,0.210231,0.091424435,-0.01637771,0.0637002,0.04015535,-0.032333747,-0.07471803,-0.072084315,0.026785713,-0.05560305,0.005782159,-0.03783945,-0.11264008,-0.0670259,-0.010052799
0.017885972,0.06861332,0.00422374,0.039933175,-0.0030608093,0.09581303,0.06315373,0.037601694,-0.0060044983,-0.065746844,0.105936594,-0.012015271,-0.043215472,-0.005559855,-0.012674995,-0.06874381,-0.0033723586,0.10735581,-0.02235649,-0.027092721,-0.044947002,-0.0077054957,-0.1017129,0.06015917,-0.13838318,-0.0088239955,0.05265209,0.08727425,0.027634416,-6.834957e-05,0.08402416,0.020910092
0.018384539,-0.08970913,0.08110623,0.08772351,-0.012281003,0.09605291,0.113000624,-0.009249795,0.10423734,0.04459629,-0.082630746,-0.027292255,-0.042595208,0.08590952,0.035720594,0.007239588,-0.02728277,0.1306956,0.01287941,-0.068124145,0.0027012064,-0.029845566,-0.1486105,-0.042369533,-0.15299308,-0.03898975,0.066548236,0.053900775,-0.0068340586,0.010579892,-0.04709347,-0.010477231
-0.0019359353,-0.08918571,-0.051702484,0.005468909,0.01561104,0.02411896,-0.014178484,0.072619155,-0.021825677,0.07612878,0.023904495,-0.090848,0.015841896,0.05129841,-0.015358354,-0.028171513,-0.036491677,0.10740231,0.05668446,-0.04758867,-0.032948606,-0.052994076,0.025916774,0.069952644,-0.054704756,0.027913379,0.08702032,0.040005844,-0.033429205,-0.06768232,-0.022206152,-0.032788996
0.025898373,0.030715194,-0.02318773,0.04023377,0.103461236,-0.018960707,0.044585492,-0.016316824,0.062011894,-0.034332678,0.08477182,-0.0018471809,-0.033138882,0.07519613,0.017779052,-0.0061664823,0.025864296,0.12742855,0.07566977,-0.040424768,0.0015320912,0.015363718,-0.02678786,0.06543176,-0.005818098,0.06803157,-0.056232013,-0.007187108,-0.046442535,0.0853534,-0.059317455,-0.00052847754
0.012758941,-0.006945381,0.056044262,-0.009569547,0.102527164,0.053614564,0.095924646,0.097633466,0.019914646,0.06949282,-0.06007707,-0.019356923,-0.02952041,0.118625045,-0.016301665,0.025379794,-0.044484977,0.17051159,0.0023878843,-0.07386096,0.050867256,0.07496588,-0.048061624,0.0049874005,-0.12320121,-0.051350083,0.073814616,-0.0078082844,-0.037422888,-0.099765904,-0.07256429,-0.09115414
-0.059086658,-0.024854029,0.07329895,-0.093432866,-0.11225012,-0.055531308,0.054529313,0.06937416,0.16026704,0.11421392,-0.11096321,0.047207464,0.035937343,0.055164497,0.0041904007,0.008786504,0.0227747,0.15478167,0.02825225,-0.14254555,-0.0443153,-0.012454226,-0.084406964,-0.05600235,-0.065153174,-0.07586385,0.0029823727,0.02045092,-0.09227781,-0.08487229,-0.017763205,-0.033584498
-0.0057209004,0.05998796,-0.0014698743,0.031425565,-0.09822853,-0.012237453,0.09841337,0.040538196,0.045184813,-0.002578247,-0.008661308,0.0020437846,-0.0111505585,0.035497513,0.043810252,-0.0070123747,-0.0081299795,0.04859188,-0.052553818,-0.044752523,-0.12131238,0.008635754,-0.06374929,0.042292718,-0.041738678,0.008935455,0.044231113,0.07861148,-0.034037378,-0.10619882,-0.10860711,-0.061852008
0.028087953,0.02393269,0.040594745,-0.007996272,-0.10592354,0.039712373,0.103829,0.15703204,0.00236417,0.008696355,0.011623888,0.024823127,0.02740346,0.04292043,0.04108759,-0.012538252,0.016547898,0.099175386,0.017541965,-0.019838797,0.034274712,0.08614154,-0.068219185,0.026518077,-0.20286861,0.049572475,-0.059528857,-0.089519106,-0.1197611,0.03249303,-0.04892607,-0.010142745
0.039338715,-0.043725096,0.076721475,0.03016088,0.02446991,0.07309055,0.080257244,0.05586935,0.0022456814,-0.022033555,0.006851308,-0.085489064,0.059194684,0.0961984,-0.029192092,-0.06184034,0.040248554,0.04561334,-0.07103643,0.123582065,0.018667975,0.07685849,-0.09871347,0.00011384325,-0.15012857,-0.0059299157,0.0446223,0.051072422,-0.11645383,0.0646452,-0.120574296,-0.033491675
0.07243498,0.072785355,0.045747075,-0.030473176,-0.009333204,-0.018520564,0.013999639,-0.0025837203,0.1603235,0.051798433,0.052996017,-0.0012188004,-0.036435742,-0.059858847,0.03462643,-0.009111151,0.044268396,0.046855394,0.00819588,-0.06562834,0.05144361,-0.027423108,-0.1264484,0.017329434,-0.09916237,-0.028873676,-0.0056720413,0.015784424,-0.07325489,0.006457777,-0.06781718,-0.11028783
-0.08199911,0.071421325,0.040241677,0.0063580507,-0.018332196,0.045562424,0.07191633,0.039312094,0.14885838,0.08234809,0.07209299,0.120953195,0.018478472,0.007502745,0.082731016,-0.026594201,-0.0050524627,0.13579229,0.06497117,-0.0038090767,-0.046875954,-0.08889231,-0.08768703,-0.003878362,-0.05933079,0.033319276,0.064298496,0.024714725,-0.008008754,-0.04413682,-0.016327308,0.058347434
0.09701791,-0.004547972,0.0024076714,0.021038083,0.059606187,0.077575736,-0.102791384,-0.030835368,0.04684651,0.19928055,0.045552656,-0.03361858,0.034563057,0.062083364,-0.06195755,-0.011489114,0.046870746,0.06854501,0.027392315,-0.020538073,-0.087123774,-0.03806238,-0.002390273,0.018713366,-0.15368687,0.032422025,-0.030372193,-0.025538003,-0.10372851,0.045494985,0.0023075177,-0.15439843
-0.010283935,0.0037692063,0.023719821,-0.03451638,-0.100752965,0.014904472,0.013804315,0.06670674,0.13252772,0.07279748,-0.08078038,0.102162726,-0.01643141,0.05510576,-0.04840902,-0.056131434,0.04884762,0.093518846,-0.02512254,-0.033727184,-0.017927766,-0.06653231,-0.021883348,-0.044086393,-0.14739023,-0.055858303,0.06886461,0.061844252,0.019306706,-0.019295756,-0.03154676,0.045626346
-0.023051392,-0.045864288,0.06319823,-0.0072671776,0.050696958,0.08427916,0.094218135,-0.016409332,-0.081208736,0.038628247,0.08844945,0.017658139,0.0020141162,0.043741617,0.016534004,-0.015990848,0.04766779,0.07685088,0.038753815,0.083731584,-0.007674976,-0.03892256,-0.027257323,0.04801779,-0.096484035,0.10211487,0.05990637,-0.02941915,-0.07184439,0.053762604,-0.006934107,0.03692948
0.010831437,-0.13969019,-0.04756293,0.0095537165,-0.0035990698,0.04086296,0.01064991,0.070779175,0.12664963,-0.0005603332,-0.038821973,0.016020099,0.029266449,0.062138718,0.08713074,-0.008441639,-0.019828524,0.0756925,0.08457272,-0.08670181,-0.03864779,-0.02783702,-0.093310446,0.0434265,-0.14753695,0.025258593,0.15747267,0.0045000543,-0.011930452,0.021456864,-0.038938936,-0.08709933
0.056666642,-0.041230608,0.0721428,-0.028978702,-0.003978485,0.067625195,0.034670234,0.12594962,0.109590545,-0.009864997,0.002612246,-0.0142099215,0.09747609,0.091702856,-0.03469047,-0.13342091,-0.08196221,0.107244715,-0.062535405,-0.11587397,0.01618395,-0.08331881,0.0020198384,0.05591465,-0.07554055,0.026315283,0.04717716,0.02058601,-0.051021513,-0.030329814,-0.11247236,-0.05323377
0.07880515,0.0040879995,0.07595661,0.073291354,0.059014894,0.0497225,0.08355865,0.07715389,0.015759785,0.03936943,-0.00979196,-0.010595175,0.0015346352,0.052789755,-0.004108087,-0.07053541,-0.050506297,0.14452896,0.040965743,0.004070707,0.046424977,-0.041605018,-0.07808171,0.042408835,0.013059675,-0.027977297,0.03558415,0.020520084,-0.006096729,-0.010019019,-0.0036316954,-0.0497986
-0.04865533,-0.0062663695,0.10264775,0.031728644,0.04040477,0.034970544,0.12098672,0.006786066,0.053532768,0.046766084,0.023091005,0.044668153,0.0083346125,0.08144495,0.006452073,-0.080162585,0.02459866,0.21410872,0.1044002,-0.13576488,0.03794633,0.039692193,-0.033004805,0.0035427203,0.0037187086,-0.036481958,-0.021376386,0.060194865,-0.12760061,0.02808136,-0.035986803,-0.0004957409
0.0066305064,-0.008574416,0.09560199,0.04255404,-0.029944785,0.046887282,0.0415927,0.0450115,0.049279973,0.022290234,0.074449375,-0.00032264797,-0.088476725,0.016356604,0.09111374,-0.059883792,0.00028634947,0.20522498,0.14234762,-0.10937003,-0.060450785,0.039272174,-0.16580057,0.036726873,-0.011729426,-0.09809208,0.063994355,-0.0022420806,0.00043074627,-0.11136127,-0.061685465,0.05220251
0.008139938,0.08736608,0.08775063,-0.037251834,0.051081873,0.11796528,-0.005573423,0.038260836,0.084618315,0.13883404,0.09975859,0.056578156,-0.07118664,0.018923903,-0.015557552,-0.009604429,-0.042603318,0.1634062,-0.0017786468,0.0071560806,0.080429174,-0.06904512,-0.0830232,0.0198698,-0.15593028,-0.05508738,0.060562782,0.05416319,-0.05030274,-0.030864445,0.05160796,0.019606609
0.08594441,-0.0547794,0.065074876,0.05581826,0.027290862,0.029387994,0.10214505,0.05176925,0.021533227,0.013105801,0.059215695,0.03028923,0.018731376,0.09178177,0.012432834,0.06663557,-0.012767982,0.12394804,0.025543962,-0.062438123,0.015985452,0.024115795,-0.020280112,0.08126736,-0.16231139,-0.08077731,0.118559696,0.09607549,0.016679091,-0.14762719,-0.09778109,-0.093361095
0.05382552,-0.061827473,-0.045512117,-0.03617337,0.001016215,0.016947381,-0.062466692,0.060082156,-0.0064362693,0.018646332,0.06170717,0.04219339,-0.025147023,0.08806089,0.09147819,0.007285279,0.035480354,0.09424152,0.08469049,-0.09977012,-0.14349815,0.0139624905,-0.03396914,0.10440633,-0.06583952,-0.015654773,0.06653427,-0.0010359709,-0.059896745,-0.020612458,-0.041350506,0.015218182
-0.036496583,-0.02391185,0.06916306,0.017453305,-0.072468445,0.019353338,0.08851226,0.09775353,-0.015598378,0.087551214,0.03826972,-0.011954981,0.052527614,0.038802397,0.014157695,0.046366476,0.044038635,0.11911125,0.036309667,-0.02820985,-0.028883478,0.026838422,-0.039744273,0.013599318,-0.041744262,0.0004482443,-0.011089221,-0.025589613,-0.08229363,-0.0357758,-0.0054031177,-0.010716507
-0.03794109,-0.043235347,0.093195274,0.097855456,-0.014891927,0.025436852,0.17338713,0.06739378,-0.13886793,0.009611061,0.081757836,-0.0009957983,-0.089316964,0.06196947,0.06003936,-0.046832412,0.024792835,0.10996882,0.014588644,-0.099375285,-0.0100411335,0.014839562,0.04184772,0.016069049,-0.079244636,-0.04022283,0.050019734,0.030049494,-0.066601485,0.006430637,-0.11915041,-0.075652145
